t,x0,y0,px0,py0,x1,y1,px1,py1,x2,y2,px2,py2
0.58,1.07975,0.0293542,-0.0444396,0.467224,-0.471539,0.326862,1.10651,-0.365542,-0.608215,-0.356216,-1.06207,-0.101682
0.59,1.07927,0.0340265,-0.0516364,0.467236,-0.460474,0.323102,1.10615,-0.38632,-0.6188,-0.357128,-1.05451,-0.080916
0.6,1.07872,0.0386989,-0.0588607,0.467248,-0.449416,0.319135,1.10526,-0.406841,-0.629305,-0.357834,-1.0464,-0.0604071
0.61,1.0781,0.0433714,-0.066116,0.46726,-0.438369,0.314965,1.10387,-0.427075,-0.639727,-0.358336,-1.03775,-0.040185
0.62,1.0774,0.0480441,-0.0734063,0.46727,-0.427338,0.310594,1.10199,-0.446992,-0.65006,-0.358638,-1.02858,-0.0202779
0.63,1.07663,0.0527168,-0.0807352,0.467277,-0.416329,0.306025,1.09966,-0.466565,-0.660299,-0.358742,-1.01892,-0.000711956
0.64,1.07578,0.0573896,-0.0881067,0.467281,-0.405345,0.301262,1.0969,-0.485769,-0.670439,-0.358652,-1.00879,0.0184884
0.65,1.07487,0.0620624,-0.0955244,0.46728,-0.394391,0.29631,1.09373,-0.504581,-0.680475,-0.358372,-0.998205,0.037301
0.66,1.07387,0.0667352,-0.102992,0.467272,-0.383471,0.291171,1.09018,-0.522978,-0.690403,-0.357906,-0.987193,0.0557056
0.67,1.07281,0.0714079,-0.110514,0.467258,-0.372587,0.28585,1.08629,-0.540942,-0.700219,-0.357258,-0.975778,0.0736843
0.68,1.07166,0.0760804,-0.118093,0.467233,-0.361745,0.280352,1.08208,-0.558455,-0.709919,-0.356432,-0.963988,0.0912212
0.69,1.07044,0.0807526,-0.125734,0.467198,-0.350946,0.274681,1.07758,-0.575501,-0.719499,-0.355434,-0.951847,0.108303
0.7,1.06915,0.0854243,-0.133439,0.467151,-0.340193,0.268842,1.07282,-0.592068,-0.728956,-0.354266,-0.939383,0.124917
0.71,1.06778,0.0900956,-0.141214,0.467089,-0.329489,0.26284,1.06784,-0.608143,-0.738286,-0.352935,-0.926621,0.141055
0.72,1.06632,0.0947661,-0.149062,0.46701,-0.318836,0.256679,1.06265,-0.623718,-0.747488,-0.351445,-0.913588,0.156708
0.73,1.06479,0.0994358,-0.156986,0.466912,-0.308236,0.250365,1.0573,-0.638784,-0.756558,-0.349801,-0.900311,0.171872
0.74,1.06318,0.104104,-0.16499,0.466792,-0.29769,0.243903,1.0518,-0.653335,-0.765494,-0.348008,-0.886814,0.186543
0.75,1.06149,0.108772,-0.173079,0.466649,-0.2872,0.237299,1.0462,-0.667368,-0.774294,-0.34607,-0.873124,0.200718
0.76,1.05972,0.113437,-0.181255,0.46648,-0.276766,0.230556,1.04052,-0.680878,-0.782957,-0.343993,-0.859266,0.214398
0.77,1.05787,0.118101,-0.189523,0.466281,-0.26639,0.223681,1.03479,-0.693865,-0.79148,-0.341782,-0.845262,0.227584
0.78,1.05593,0.122763,-0.197887,0.46605,-0.256071,0.216679,1.02902,-0.706328,-0.799862,-0.339442,-0.831137,0.240279
0.79,1.05391,0.127422,-0.206349,0.465783,-0.245809,0.209554,1.02326,-0.718269,-0.808102,-0.336977,-0.816914,0.252486
0.8,1.05181,0.132079,-0.214914,0.465477,-0.235605,0.202313,1.01753,-0.729688,-0.8162,-0.334392,-0.802613,0.264211
0.81,1.04961,0.136732,-0.223586,0.465129,-0.225459,0.194961,1.01184,-0.74059,-0.824155,-0.331692,-0.788255,0.275461
0.82,1.04733,0.141381,-0.232367,0.464735,-0.215369,0.187502,1.00623,-0.750978,-0.831965,-0.328883,-0.77386,0.286242
0.83,1.04497,0.146026,-0.241262,0.464291,-0.205334,0.179941,1.00071,-0.760855,-0.839632,-0.325968,-0.759447,0.296564
0.84,1.04251,0.150667,-0.250274,0.463793,-0.195354,0.172284,0.995307,-0.770228,-0.847154,-0.322951,-0.745032,0.306436
0.85,1.03996,0.155302,-0.259407,0.463236,-0.185428,0.164537,0.99004,-0.779102,-0.854532,-0.319839,-0.730633,0.315866
0.86,1.03732,0.159932,-0.268664,0.462616,-0.175554,0.156702,0.984929,-0.787482,-0.861767,-0.316634,-0.716265,0.324866
0.87,1.03459,0.164555,-0.278049,0.461928,-0.165729,0.148787,0.979991,-0.795375,-0.868858,-0.313342,-0.701943,0.333447
0.88,1.03176,0.16917,-0.287564,0.461167,-0.155954,0.140795,0.975243,-0.802787,-0.875806,-0.309965,-0.687679,0.34162
0.89,1.02884,0.173778,-0.297213,0.460328,-0.146225,0.132731,0.9707,-0.809724,-0.882611,-0.306509,-0.673487,0.349396
0.9,1.02582,0.178377,-0.307,0.459405,-0.13654,0.1246,0.966377,-0.816192,-0.889275,-0.302977,-0.659377,0.356787
0.91,1.0227,0.182966,-0.316927,0.458393,-0.126897,0.116407,0.962288,-0.822199,-0.895799,-0.299373,-0.645361,0.363806
0.92,1.01948,0.187545,-0.326997,0.457286,-0.117294,0.108156,0.958445,-0.827751,-0.902183,-0.295701,-0.631448,0.370465
0.93,1.01616,0.192112,-0.337213,0.456077,-0.107728,0.0998523,0.954859,-0.832852,-0.908428,-0.291964,-0.617646,0.376776
0.94,1.01273,0.196666,-0.347578,0.454759,-0.0981969,0.0914994,0.951542,-0.83751,-0.914536,-0.288166,-0.603964,0.382751
0.95,1.0092,0.201207,-0.358094,0.453326,-0.0886973,0.0831021,0.948503,-0.841729,-0.920507,-0.284309,-0.590409,0.388403
0.96,1.00557,0.205733,-0.368764,0.451771,-0.0792268,0.0746648,0.94575,-0.845515,-0.926344,-0.280398,-0.576986,0.393744
0.97,1.00183,0.210242,-0.379589,0.450086,-0.0697823,0.0661918,0.943291,-0.848872,-0.932047,-0.276434,-0.563702,0.398786
0.98,0.997979,0.214734,-0.390573,0.448264,-0.060361,0.0576874,0.941134,-0.851805,-0.937618,-0.272422,-0.550561,0.403541
0.99,0.994018,0.219208,-0.401716,0.446296,-0.0509597,0.0491557,0.939283,-0.854317,-0.943058,-0.268363,-0.537567,0.40802
1,0.989944,0.22366,-0.41302,0.444175,-0.0415753,0.040601,0.937745,-0.856411,-0.948369,-0.264261,-0.524725,0.412236
1.01,0.985757,0.228091,-0.424487,0.441891,-0.0322048,0.0320275,0.936523,-0.85809,-0.953553,-0.260119,-0.512036,0.4162
1.02,0.981455,0.232498,-0.436117,0.439435,-0.0228448,0.0234392,0.935621,-0.859357,-0.95861,-0.255937,-0.499504,0.419922
1.03,0.977035,0.23688,-0.447911,0.436799,-0.0134923,0.0148404,0.935042,-0.860213,-0.963543,-0.25172,-0.48713,0.423415
1.04,0.972497,0.241234,-0.45987,0.433972,-0.00414401,0.00623497,0.934786,-0.860659,-0.968352,-0.247469,-0.474916,0.426687
1.05,0.967838,0.245559,-0.471993,0.430945,0.00520339,-0.00237282,0.934856,-0.860695,-0.973041,-0.243186,-0.462863,0.42975
1.06,0.963057,0.249853,-0.48428,0.427707,0.0145531,-0.0109789,0.935251,-0.860321,-0.97761,-0.238874,-0.450971,0.432614
1.07,0.958152,0.254113,-0.49673,0.424249,0.0239084,-0.0195792,0.935971,-0.859537,-0.98206,-0.234534,-0.43924,0.435288
1.08,0.953122,0.258338,-0.509342,0.420559,0.0332725,-0.0281697,0.937013,-0.858341,-0.986395,-0.230168,-0.427671,0.437782
1.09,0.947965,0.262525,-0.522115,0.416625,0.0426487,-0.0367461,0.938377,-0.856731,-0.990614,-0.225779,-0.416262,0.440105
1.1,0.94268,0.266671,-0.535044,0.412438,0.0520401,-0.0453043,0.940058,-0.854704,-0.99472,-0.221366,-0.405013,0.442266
1.11,0.937264,0.270773,-0.548129,0.407984,0.0614498,-0.0538401,0.942052,-0.852258,-0.998714,-0.216933,-0.393923,0.444273
1.12,0.931717,0.27483,-0.561365,0.403253,0.0708811,-0.0623494,0.944355,-0.849388,-1.0026,-0.212481,-0.38299,0.446135
1.13,0.926037,0.278838,-0.574748,0.398232,0.0803369,-0.0708279,0.946961,-0.846091,-1.00637,-0.208011,-0.372213,0.447859
1.14,0.920222,0.282795,-0.588274,0.392908,0.0898203,-0.0792713,0.949863,-0.842362,-1.01004,-0.203524,-0.361589,0.449454
1.15,0.914271,0.286697,-0.601937,0.38727,0.0993342,-0.0876752,0.953054,-0.838196,-1.01361,-0.199021,-0.351117,0.450926
1.16,0.908183,0.29054,-0.61573,0.381305,0.108881,-0.0960352,0.956525,-0.833588,-1.01706,-0.194505,-0.340795,0.452283
1.17,0.901957,0.294323,-0.629647,0.375,0.118465,-0.104347,0.960267,-0.828531,-1.02042,-0.189976,-0.33062,0.453531
1.18,0.895591,0.29804,-0.64368,0.368342,0.128087,-0.112606,0.964269,-0.823019,-1.02368,-0.185435,-0.320589,0.454677
1.19,0.889083,0.30169,-0.65782,0.361319,0.13775,-0.120807,0.968519,-0.817046,-1.02683,-0.180882,-0.3107,0.455727
1.2,0.882434,0.305267,-0.672056,0.353918,0.147457,-0.128947,0.973006,-0.810605,-1.02989,-0.17632,-0.300949,0.456688
1.21,0.875642,0.308768,-0.68638,0.346126,0.15721,-0.137019,0.977715,-0.80369,-1.03285,-0.171748,-0.291335,0.457564
1.22,0.868707,0.312189,-0.700778,0.337931,0.167011,-0.145021,0.982632,-0.796293,-1.03572,-0.167169,-0.281853,0.458362
1.23,0.861627,0.315527,-0.715239,0.329322,0.176863,-0.152945,0.987741,-0.788408,-1.03849,-0.162581,-0.272502,0.459086
1.24,0.854402,0.318776,-0.729749,0.320285,0.186766,-0.160789,0.993025,-0.780027,-1.04117,-0.157987,-0.263276,0.459742
1.25,0.847032,0.321932,-0.744292,0.310811,0.196723,-0.168546,0.998467,-0.771145,-1.04375,-0.153386,-0.254174,0.460334
1.26,0.839516,0.324992,-0.758854,0.300887,0.206736,-0.176212,1.00405,-0.761755,-1.04625,-0.14878,-0.245192,0.460868
1.27,0.831855,0.32795,-0.773417,0.290504,0.216804,-0.183781,1.00974,-0.751851,-1.04866,-0.144169,-0.236326,0.461347
1.28,0.824048,0.330802,-0.787963,0.279652,0.22693,-0.191249,1.01554,-0.741427,-1.05098,-0.139553,-0.227573,0.461775
1.29,0.816095,0.333543,-0.802474,0.268322,0.237115,-0.198609,1.0214,-0.730479,-1.05321,-0.134934,-0.218929,0.462157
1.3,0.807998,0.336168,-0.816929,0.256507,0.247359,-0.205858,1.02732,-0.719002,-1.05536,-0.13031,-0.210392,0.462495
1.31,0.799757,0.338673,-0.831306,0.244199,0.257661,-0.212989,1.03326,-0.706994,-1.05742,-0.125684,-0.201956,0.462795
1.32,0.791372,0.341052,-0.845584,0.231394,0.268024,-0.219998,1.0392,-0.694452,-1.0594,-0.121054,-0.193619,0.463058
1.33,0.782845,0.343301,-0.85974,0.218086,0.278445,-0.226879,1.04512,-0.681374,-1.06129,-0.116423,-0.185377,0.463289
